# VBA tblplayerresult data
# Paste data below:

PlayerResultID	MatchNo	FrameNo	PlayerID	Played	Result	EightBall	OppRating	PlayerRating	WeekNo
407	14	9	75	17	-1	0	916	1145	3
408	14	9	17	75	0	0	934	700	3
409	14	10	97	32	0	0	1076	807	3
410	14	10	32	97	-1	0	1093	1366	3
411	14	11	53	14	-1	0	842	1052	3
412	14	11	14	53	0	0	1000	750	3
413	14	12	109	18	-1	0	797	996	3
414	14	12	18	109	0	0	1000	750	3
415	14	13	75	27	-1	0	1068	1335	3
416	14	13	27	75	0	0	934	700	3
417	14	14	97	15	0	0	910	682	3
418	14	14	15	97	-1	-1	1093	1476	3
419	14	15	53	32	-1	0	1076	1345	3
420	14	15	32	53	0	0	1000	750	3
421	15	1	31	23	-1	0	881	1101	3
422	15	1	23	31	0	0	1163	872	3
423	15	2	11	23	0	0	881	661	3
424	15	2	23	11	-1	0	1222	1528	3
425	15	3	13	23	0	0	881	661	3
426	15	3	23	13	-1	0	1069	1336	3
427	15	4	101	89	-1	0	1065	1331	3
428	15	4	89	101	0	0	1233	925	3
429	15	5	30	66	0	0	912	684	3
430	15	5	66	30	-1	0	1079	1349	3
431	15	6	31	65	0	0	1086	814	3
432	15	6	65	31	-1	0	1163	1454	3
433	15	7	11	89	-1	0	1065	1331	3
434	15	7	89	11	0	0	1222	916	3
435	15	8	13	66	-1	0	912	1140	3
436	15	8	66	13	0	0	1069	802	3
437	15	9	101	65	0	0	1086	814	3
438	15	9	65	101	-1	0	1233	1541	3
439	15	10	30	89	-1	0	1065	1331	3
440	15	10	89	30	0	0	1079	809	3
441	15	11	31	66	0	0	912	684	3
442	15	11	66	31	-1	0	1163	1454	3
443	15	12	11	65	-1	0	1086	1358	3
444	15	12	65	11	0	0	1222	916	3
445	15	13	13	110	-1	0	1000	1250	3
446	15	13	110	13	0	0	1069	802	3
447	15	14	101	110	-1	0	1000	1250	3
448	15	14	110	101	0	0	1233	925	3
449	15	15	30	110	0	0	1000	750	3
450	15	15	110	30	-1	0	1079	1349	3
